document_id,documento,status,level,analyst_id,created_at
165523,2accb11a3cf4829a609e2e34842f0d3b14dad1219ca0cadb4e4385fc5e169363,finished,D,43,2020-12-15 15:58:27
165546,d674f38c6fb1db2f8efd468967710f211c17198b6926e3e70d70c5a13ca7b035,finished,D,37,2020-08-13 14:40:08
165547,ade77fc01a7adeb190c9063b71500f62a8779fe39dc17461714dbca7eb4175e1,finished,D,51,2021-05-26 19:07:58
165572,cddec1e262a4312299519dbef7231488cc634eb6531c7a851d0147ed8cac769b,in_process,,43,2020-04-17 16:26:02
165572,cddec1e262a4312299519dbef7231488cc634eb6531c7a851d0147ed8cac769b,finished,D,43,2020-04-17 16:26:05
165603,e140a2bd465984a84ed29874a5a4eccd4254903d4cb3c2cf30f6df8ce9871121,finished,D,51,2021-05-26 19:08:16
165653,e3be074c0569caf18a01942fa67218fe44594f36240e7d68611d7da671595ebc,finished,D,46,2020-06-10 14:07:38
165660,7de6209195f2ae6d3aca7b200605d036374a9cee4ffd8645829d37f32d1f13cf,finished,D,51,2021-05-27 05:52:35
165662,f42926527791038c684ed0d1179e6c1465a3d144ff957b186603501d15568d0a,finished,C,51,2021-05-26 10:00:51
165662,f42926527791038c684ed0d1179e6c1465a3d144ff957b186603501d15568d0a,finished,D,51,2021-05-26 19:08:29
165767,721be544b81da0afe7e42e2bb217c479d340f6d55f7cce6a6144ed93e246e2d0,finished,D,51,2021-05-26 19:08:51
165771,24688ab49ec6abb41ba4b5250bbeb5cef04fcf8526b4c37cac4b36fe78b83382,finished,D,46,2020-12-07 16:59:23
165791,d273d7bc8f1cda70843c592c6087cca01399874ca9c28759b884694ab714394b,finished,D,51,2021-05-26 19:08:54
165811,87db7c91498d20dcbad3b60884719076878ba255dc4548015d7ddba6a4371548,finished,D,51,2021-05-26 19:09:00
165862,8904a2831679501ceb8b7410f909cbdd91ca47d2735b9a9b22b87b68a9183b1a,finished,C,43,2020-07-07 15:26:29
165904,2d7bcc81b01b02625a81c1b8fb9226a47362609e09bb48f59a4548230e2384d8,finished,D,43,2020-05-25 12:25:27
165971,4cb614e69bfaff609451157c76743c801e3a33b3cdbd414dd162384b2ca6b6d5,finished,D,51,2021-05-26 19:09:40
