Execução iniciada em: 2025-07-28_00-13-14

Configurações da Rodada:
  - model: sage
  - balancing: oversample
  - data_path: out/grafo_fraude_binario_cd_efraude.gml
  - epochs: 1000
  - lr: 0.001
  - hidden_channels: 128
  - dropout: 0.5
  - num_layers: 2
  - weight_decay: 0.0005
------------------------------
Carregando o grafo do arquivo GML...
Pré-processando os dados dos nós...
Processando features...
Features numéricas encontradas: ['num_transacoes_feitas', 'num_transacoes_recebidas', 'valor_medio_enviado', 'valor_medio_recebido', 'desvio_padrao_transacoes', 'num_contas_relacionadas', 'num_estornos', 'num_cancelamentos', 'num_pagamentos_contas', 'total_pagamentos_contas']
Escalando features...

--- Resumo do Pré-processamento ---
Dados processados: Data(x=[9878, 21], edge_index=[2, 7743], y=[9878], num_nodes=9878)
Número de features por nó: 21
Distribuição das classes: tensor([8822, 1056])
------------------------------------

Máscaras de dados criadas:
  - Nós de Treino: 6914
  - Nós de Validação: 1482
  - Nós de Teste: 1482

Usando dispositivo: cpu

Arquitetura do Modelo:
 GraphSAGE(
  (convs): ModuleList(
    (0): SAGEConv(21, 128, aggr=mean)
    (1): SAGEConv(128, 2, aggr=mean)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (dropout): Dropout(p=0.5, inplace=False)
)

Balanceamento por pesos desativado.
Usando balanceamento por oversampling da classe minoritária.

Iniciando o treinamento...
   Época: 790, Perda: 0.4693, Val F1: 0.3918
   Época: 800, Perda: 0.4541, Val F1: 0.3849
   Época: 810, Perda: 0.4727, Val F1: 0.4000
   Época: 820, Perda: 0.4694, Val F1: 0.3855
   Época: 830, Perda: 0.4560, Val F1: 0.3900
   Época: 840, Perda: 0.4851, Val F1: 0.4000
   Época: 850, Perda: 0.4612, Val F1: 0.3933
   Época: 860, Perda: 0.4622, Val F1: 0.3979
   Época: 870, Perda: 0.4676, Val F1: 0.3887
   Época: 880, Perda: 0.4693, Val F1: 0.3945
   Época: 890, Perda: 0.4661, Val F1: 0.3887
   Época: 900, Perda: 0.4700, Val F1: 0.3979
   Época: 910, Perda: 0.4742, Val F1: 0.3993
   Época: 920, Perda: 0.4723, Val F1: 0.3900
   Época: 930, Perda: 0.4703, Val F1: 0.3913
   Época: 940, Perda: 0.4776, Val F1: 0.3892
🚀 Época: 950, Perda: 0.4685, Val F1: 0.4022 (Novo Melhor!)
   Época: 960, Perda: 0.4752, Val F1: 0.3979
   Época: 970, Perda: 0.4643, Val F1: 0.3900
   Época: 980, Perda: 0.4764, Val F1: 0.3926
   Época: 990, Perda: 0.4564, Val F1: 0.3855
   Época: 1000, Perda: 0.4711, Val F1: 0.4021

✅ Treinamento finalizado!
Melhor modelo salvo em 'Results_GNN\Result_SAGE_2025-07-28_00-13-14\best_model.pth'

Melhor limiar encontrado no conjunto de validação: 0.74 (com F1-Score de 0.4611)

--- Resultados Finais (Melhor Modelo com Limiar Otimizado) ---

Métricas de Treino:
  - Accuracy: 0.8831
  - Precision: 0.4582
  - Recall: 0.5115
  - F1: 0.4834
  - Roc_auc: 0.8630

Métricas de Validação:
  - Accuracy: 0.8833
  - Precision: 0.4568
  - Recall: 0.4654
  - F1: 0.4611
  - Roc_auc: 0.8319

Métricas de Teste:
  - Accuracy: 0.8785
  - Precision: 0.4313
  - Recall: 0.4367
  - F1: 0.4340
  - Roc_auc: 0.8439
Matriz de confusão salva em: Results_GNN\Result_SAGE_2025-07-28_00-13-14\matriz_confusao_teste.png
